BTC,Bitcoin
ETH,Ethereum
XRP,XRP
USDT,Tether
BCH,Bitcoin Cash
BSV,Bitcoin SV
LTC,Litecoin
EOS,EOS
BNB,Binance Coin
XTZ,Tezos
LEO,UNUS SED LEO
XMR,Monero
XLM,Stellar
ADA,Cardano
LINK,Chainlink
TRX,TRON
HT,Huobi Token
CRO,Crypto.com Coin
USDC,USD Coin
DASH,Dash
ETC,Ethereum Classic
HEDG,HedgeTrade
NEO,Neo
MIOTA,IOTA
ATOM,Cosmos
XEM,NEM
ZEC,Zcash
MKR,Maker
OKB,OKB
PAX,Paxos Standard
ONT,Ontology
FTT,FTX Token
DOGE,Dogecoin
BAT,Basic Attention Token
BUSD,Binance USD
VET,VeChain
TUSD,TrueUSD
ICX,ICON
BTG,Bitcoin Gold
HBAR,Hedera Hashgraph
DCR,Decred
QTUM,Qtum
LSK,Lisk
REP,Augur
SNX,Synthetix Network Token
ZB,ZB Token
ALGO,Algorand
ZRX,0x
WAVES,Waves
RVN,Ravencoin